epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,441.14,2.13592,1.51844,2.13821,0.83018,0.73438,0.83545,0.41757,3.26428,2.00974,2.83348,0.0005942,0.0005942,0.0005942
73,446.708,2.02014,1.33568,2.1177,0.87958,0.76562,0.84902,0.43952,3.19599,1.9241,2.79176,0.0005744,0.0005744,0.0005744
74,452.75,2.22435,1.44661,2.10486,0.8439,0.76032,0.84014,0.42518,3.24478,1.96425,2.82031,0.0005546,0.0005546,0.0005546
75,458.362,2.08738,1.35311,2.08394,0.89896,0.6875,0.82053,0.41489,3.24577,1.8883,2.81724,0.0005348,0.0005348,0.0005348
76,464.883,2.01583,1.34463,2.04271,0.80638,0.6875,0.7895,0.39886,3.17231,2.00676,2.73534,0.000515,0.000515,0.000515
77,470.089,2.07704,1.36922,2.03118,0.77015,0.67188,0.74407,0.38341,3.12397,1.98564,2.71909,0.0004952,0.0004952,0.0004952
78,476.593,2.03246,1.31558,2.0425,0.72432,0.71875,0.73017,0.36672,3.09528,1.9843,2.71093,0.0004754,0.0004754,0.0004754
79,481.772,1.99241,1.34659,2.05908,0.74089,0.76562,0.73941,0.37036,3.16744,1.98096,2.71216,0.0004556,0.0004556,0.0004556
80,488.071,1.9596,1.24961,1.99728,0.73887,0.75,0.7539,0.38431,3.08324,2.06264,2.67987,0.0004358,0.0004358,0.0004358
81,493.506,1.87098,1.25873,2.00942,0.83084,0.69073,0.75852,0.3927,3.16136,1.98971,2.7734,0.000416,0.000416,0.000416
82,498.787,1.81574,1.29923,1.98514,0.82932,0.68335,0.75683,0.40726,3.0977,1.9541,2.75468,0.0003962,0.0003962,0.0003962
83,505.199,1.92654,1.34778,1.99489,0.76684,0.75,0.77082,0.39317,3.13386,1.87519,2.73415,0.0003764,0.0003764,0.0003764
84,510.356,1.85459,1.16334,1.96322,0.82479,0.71875,0.75777,0.41337,3.22928,1.86237,2.79523,0.0003566,0.0003566,0.0003566
85,516.88,1.94535,1.30008,2.03051,0.85432,0.75,0.79808,0.43127,3.22166,1.87549,2.77362,0.0003368,0.0003368,0.0003368
86,521.871,1.88372,1.25678,1.96957,0.90349,0.64062,0.78822,0.40729,3.23157,1.95109,2.78954,0.000317,0.000317,0.000317
87,527.835,1.87438,1.21781,1.99168,0.95346,0.64021,0.7978,0.44671,3.16114,1.87883,2.73239,0.0002972,0.0002972,0.0002972
